title,genre,overview
What Happened to Monday,"['Science Fiction', 'Thriller', 'Drama', 'Mystery', 'Action']","['world', 'families', 'limited', 'one', 'child', 'due', 'overpopulation', 'set', 'identical', 'septuplets', 'must', 'avoid', 'put', 'long', 'sleep', 'government', 'dangerous', 'infighting', 'investigating', 'disappearance', 'one']"
Pom Poko,"['Adventure', 'Animation', 'Fantasy']","['raccoons', 'tama', 'hills', 'forced', 'homes', 'rapid', 'development', 'houses', 'shopping', 'malls', 'becomes', 'harder', 'find', 'food', 'shelter', 'decide', 'band', 'together', 'fight', 'back', 'raccoons', 'practice', 'perfect', 'ancient', 'art', 'transformation', 'even', 'able', 'appear', 'humans', 'hilarious', 'circumstances']"
Watership Down,"['Adventure', 'Animation', 'Drama']","['warren', 'belonging', 'community', 'rabbits', 'threatened', 'brave', 'group', 'led', 'fiver', 'bigwig', 'blackberry', 'hazel', 'leave', 'homeland', 'search', 'safe', 'new']"
The American Friend,"['Drama', 'Thriller']","['tom', 'ripley', 'american', 'deals', 'forged', 'art', 'slighted', 'auction', 'hamburg', 'picture', 'framer', 'jonathan', 'zimmerman', 'ripley', 'asked', 'gangster', 'raoul', 'minot', 'kill', 'rival', 'suggests', 'zimmerman', 'two', 'exploiting', 'zimmermans', 'terminal', 'illness', 'coerce', 'hitman']"
The Edge of Seventeen,"['Comedy', 'Drama']","['two', 'high', 'school', 'girls', 'best', 'friends', 'one', 'dates', 'others', 'older', 'brother', 'totally', 'sisters', 'nemesis']"
Creed III,"['Drama', 'Action']","['dominating', 'boxing', 'world', 'adonis', 'creed', 'thrived', 'career', 'family', 'life', 'childhood', 'friend', 'former', 'boxing', 'prodigy', 'damian', 'anderson', 'resurfaces', 'serving', 'long', 'sentence', 'prison', 'eager', 'prove', 'deserves', 'shot', 'ring', 'faceoff', 'former', 'friends', 'fight', 'settle', 'score', 'adonis', 'must', 'put', 'future', 'line', 'battle', 'damian', '—', 'fighter', 'nothing', 'lose']"
Queen & Slim,"['Drama', 'Romance', 'Crime']","['forgettable', 'first', 'date', 'together', 'ohio', 'black', 'man', 'black', 'woman', 'pulled', 'minor', 'traffic', 'infraction', 'situation', 'escalates', 'sudden', 'tragic', 'results']"
The Healer,"['Family', 'Drama', 'Comedy']","['film', 'follows', 'man', 'unwanted', 'gift', 'healing', 'meets', 'teenager', 'cancer', 'helps', 'find']"
No,"['Drama', 'History']","['1988', 'chilean', 'military', 'dictator', 'augusto', 'pinochet', 'due', 'international', 'pressure', 'forced', 'call', 'plebiscite', 'presidency', 'country', 'vote', '‘', 'yes', '’', '‘', 'no', '’', 'pinochet', 'extending', 'rule', 'another', 'eight', 'years', 'opposition', 'leaders', '‘', 'no', '’', 'vote', 'persuade', 'brash', 'young', 'advertising', 'executive', 'rené', 'saavedra', 'spearhead', 'campaign', 'odds', 'scant', 'resources', 'scrutiny', 'despot', '’', 's', 'minions', 'saavedra', 'team', 'devise', 'audacious', 'plan', 'win', 'election', 'set', 'chile', 'free']"
"The Good, the Bad, the Weird","['Action', 'Adventure', 'Comedy', 'Western']","['story', 'three', 'korean', 'outlaws', '1930s', 'manchuria', 'dealings', 'japanese', 'army', 'chinese', 'russian', 'bandits', 'good', 'bounty', 'hunter', 'bad', 'hitman', 'weird', 'thief', 'battle', 'army', 'bandits', 'race', 'use', 'treasure', 'map', 'uncover', 'riches', 'legend']"
The Map of Tiny Perfect Things,"['Fantasy', 'Romance']","['story', 'two', 'teenagers', 'trapped', 'endless', 'time', 'loop', 'set', 'find', 'tiny', 'things', 'make', 'one', 'day', 'perfect']"
The Old Guard,"['Action', 'Fantasy']","['four', 'undying', 'warriors', 'whove', 'secretly', 'protected', 'humanity', 'centuries', 'become', 'targeted', 'mysterious', 'powers', 'discover', 'new', 'immortal']"
War for the Planet of the Apes,"['Drama', 'Science Fiction', 'War']","['caesar', 'apes', 'forced', 'deadly', 'conflict', 'army', 'humans', 'led', 'ruthless', 'colonel', 'apes', 'suffer', 'unimaginable', 'losses', 'caesar', 'wrestles', 'darker', 'instincts', 'begins', 'mythic', 'quest', 'avenge', 'kind', 'journey', 'finally', 'brings', 'face', 'face', 'caesar', 'colonel', 'pitted', 'epic', 'battle', 'determine', 'fate', 'species', 'future', 'planet']"
La Grande Bouffe,"['Drama', 'Comedy']","['four', 'friends', 'gather', 'villa', 'intention', 'eating', 'death']"
Crimson Tide,"['Thriller', 'Action']","['cold', 'war', 'breakaway', 'russian', 'republic', 'nuclear', 'warheads', 'becomes', 'possible', 'worldwide', 'threat', 'us', 'submarine', 'capt', 'frank', 'ramsey', 'signs', 'relatively', 'green', 'highly', 'recommended', 'lt', 'cmdr', 'ron', 'hunter', 'uss', 'alabama', 'may', 'ship', 'able', 'to', 'stop', 'possible', 'armageddon', 'ramsay', 'insists', 'alabama', 'must', 'act', 'aggressively', 'hunter', 'fearing', 'start', 'rather', 'stop', 'disaster', 'leads', 'potential', 'mutiny', 'stop']"
M3GAN,"['Science Fiction', 'Horror']","['brilliant', 'toy', 'company', 'roboticist', 'uses', 'artificial', 'intelligence', 'develop', 'm3gan', 'lifelike', 'doll', 'programmed', 'emotionally', 'bond', 'newly', 'orphaned', 'niece', 'dolls', 'programming', 'works', 'well', 'becomes', 'overprotective', 'new', 'friend', 'terrifying', 'results']"
Midsommar,"['Horror', 'Drama', 'Mystery']","['several', 'friends', 'travel', 'sweden', 'study', 'anthropologists', 'summer', 'festival', 'held', 'every', 'ninety', 'years', 'remote', 'hometown', 'one', 'begins', 'dream', 'vacation', 'place', 'sun', 'never', 'sets', 'gradually', 'turns', 'dark', 'nightmare', 'mysterious', 'inhabitants', 'invite', 'participate', 'disturbing', 'festive', 'activities']"
Bedevilled,"['Thriller', 'Crime', 'Drama', 'Horror']","['woman', 'subject', 'mental', 'physical', 'sexual', 'abuse', 'remote', 'island', 'seeks', 'way']"
The Darjeeling Limited,"['Adventure', 'Drama', 'Comedy']","['three', 'american', 'brothers', 'spoken', 'year', 'set', 'train', 'voyage', 'across', 'india', 'plan', 'find', 'bond', 'become', 'brothers', 'like', 'used', 'spiritual', 'quest', 'however', 'veers', 'rapidly', 'offcourse', 'due', 'events', 'involving', 'overthecounter', 'pain', 'killers', 'indian', 'cough', 'syrup', 'pepper', 'spray']"
Sissi: The Young Empress,"['Drama', 'Comedy', 'Romance']","['sissi', 'empress', 'austria', 'attempts', 'learn', 'etiquette', 'busy', 'empress', 'also', 'deal', 'difficult', 'new', 'motherinlaw', 'archduchess', 'sophie', 'trying', 'tell', 'emperor', 'rule', 'also', 'sissi', 'mother']"
A History of Violence,"['Drama', 'Thriller', 'Crime']","['average', 'family', 'thrust', 'spotlight', 'father', 'commits', 'seemingly', 'selfdefense', 'murder', 'diner']"
Black Panther: Wakanda Forever,"['Action', 'Adventure', 'Science Fiction']","['queen', 'ramonda', 'shuri', 'm', '’', 'baku', 'okoye', 'dora', 'milaje', 'fight', 'protect', 'nation', 'intervening', 'world', 'powers', 'wake', 'king', 't', '’', 'challa', '’', 's', 'death', 'wakandans', 'strive', 'embrace', 'next', 'chapter', 'heroes', 'must', 'band', 'together', 'help', 'war', 'dog', 'nakia', 'everett', 'ross', 'forge', 'new', 'path', 'kingdom', 'wakanda']"
Doctor Sleep,"['Horror', 'Thriller', 'Fantasy']","['still', 'irrevocably', 'scarred', 'trauma', 'endured', 'child', 'overlook', 'dan', 'torrance', 'fought', 'find', 'semblance', 'peace', 'peace', 'shattered', 'encounters', 'abra', 'courageous', 'teenager', 'powerful', 'extrasensory', 'gift', 'known', 'shine', 'instinctively', 'recognising', 'dan', 'shares', 'power', 'abra', 'sought', 'desperate', 'help', 'merciless', 'rose', 'hat', 'followers']"
Gravity,"['Science Fiction', 'Thriller', 'Drama']","['dr', 'ryan', 'stone', 'brilliant', 'medical', 'engineer', 'first', 'shuttle', 'mission', 'veteran', 'astronaut', 'matt', 'kowalsky', 'command', 'last', 'flight', 'retiring', 'seemingly', 'routine', 'spacewalk', 'disaster', 'strikes', 'shuttle', 'destroyed', 'leaving', 'stone', 'kowalsky', 'completely', 'alonetethered', 'nothing', 'spiraling', 'blackness', 'space', 'deafening', 'silence', 'tells', 'lost', 'link', 'earth', 'chance', 'rescue', 'fear', 'turns', 'panic', 'every', 'gulp', 'air', 'eats', 'away', 'little', 'oxygen', 'left', 'way', 'home', 'may', 'go', 'terrifying', 'expanse', 'space']"
The Cat Returns,"['Adventure', 'Fantasy', 'Animation', 'Drama', 'Family']","['young', 'haru', 'rescues', 'cat', 'run', 'soon', 'learns', 'ordinary', 'feline', 'happens', 'prince', 'cats']"
Out of Africa,"['History', 'Romance', 'Drama']","['africa', 'tells', 'story', 'life', 'danish', 'author', 'karen', 'blixen', 'beginning', '20th', 'century', 'moved', 'africa', 'build', 'new', 'life', 'film', 'based', 'autobiographical', 'novel', 'karen', 'blixen', '1937']"
The Professor and the Madman,"['History', 'Drama', 'Mystery', 'Thriller']","['professor', 'james', 'murray', 'begins', 'work', 'compiling', 'words', 'first', 'edition', 'oxford', 'english', 'dictionary', 'mid', '19th', 'century', 'receives', '10000', 'entries', 'patient', 'broadmoor', 'criminal', 'lunatic', 'asylum', 'dr', 'william', 'minor']"
Belle,['Drama'],"['dido', 'elizabeth', 'bell', 'illegitimate', 'mixedrace', 'daughter', 'royal', 'navy', 'admiral', 'plays', 'important', 'role', 'campaign', 'abolish', 'slavery', 'england']"
Gangs of Wasseypur - Part 1,"['Action', 'Thriller', 'Crime']","['1970s', 'india', 'young', 'man', 'vows', 'take', 'revenge', 'man', 'killed', 'father', 'decades', 'earlier']"
Five Easy Pieces,['Drama'],"['dropout', 'upperclass', 'america', 'picks', 'work', 'along', 'way', 'oilrigs', 'life', 'isnt', 'spent', 'squalid', 'succession', 'bars', 'motels', 'points', 'interest']"
A Simple Plan,"['Crime', 'Drama', 'Thriller']","['captivated', 'lure', 'sudden', 'wealth', 'quiet', 'rural', 'lives', 'two', 'brothers', 'erupt', 'conflicts', 'greed', 'paranoia', 'distrust', '4', 'million', 'cash', 'discovered', 'remote', 'site', 'downed', 'small', 'airplane', 'simple', 'plan', 'retain', 'money', 'avoiding', 'detection', 'opens', 'pandoras', 'box', 'fear', 'getting', 'caught', 'triggers', 'panicked', 'behavior', 'leads', 'virulent', 'consequences']"
The Caine Mutiny,"['Drama', 'War']","['us', 'naval', 'captain', 'shows', 'signs', 'mental', 'instability', 'jeopardize', 'ship', 'first', 'officer', 'relieves', 'command', 'faces', 'court', 'martial', 'mutiny']"
Big,"['Fantasy', 'Drama', 'Comedy', 'Romance', 'Family']","['young', 'boy', 'makes', 'wish', 'carnival', 'machine', 'big—he', 'wakes', 'following', 'morning', 'find', 'granted', 'body', 'grown', 'older', 'overnight', 'still', '13yearold', 'boy', 'inside', 'must', 'learn', 'cope', 'unfamiliar', 'world', 'grownups', 'including', 'getting', 'job', 'first', 'romantic', 'encounter', 'woman']"
By the Grace of God,['Drama'],"['alexandre', 'lives', 'lyon', 'wife', 'children', 'one', 'day', 'discovered', 'chance', 'priest', 'abused', 'scouts', 'always', 'officiates', 'children', 'starts', 'fight', 'quickly', 'joined', 'françois', 'emmanuel', 'also', 'victims', 'priest', 'release', 'word', 'suffered']"
The Cutting Edge,"['Romance', 'Comedy', 'Drama']","['two', 'former', 'olympians', 'one', 'figure', 'skater', 'hockey', 'player', 'pin', 'hopes', 'one', 'last', 'shot', 'olympic', 'glory', 'one', 'another', 'course', 'keep', 'killing', 'process']"
Welcome to the Dollhouse,"['Comedy', 'Drama']","['unattractive', '7th', 'grader', 'struggles', 'cope', 'suburban', 'life', 'middle', 'child', 'inattentive', 'parents', 'bullies', 'school']"
Marnie,"['Thriller', 'Mystery', 'Drama', 'Romance', 'Crime']","['marnie', 'thief', 'liar', 'cheat', 'new', 'boss', 'mark', 'rutland', 'catches', 'routine', 'kleptomania', 'finds', 'blackmailed']"
Trumbo,['Drama'],"['career', 'screenwriter', 'dalton', 'trumbo', 'halted', 'witch', 'hunt', 'late', '1940s', 'defies', 'anticommunist', 'huac', 'committee', 'blacklisted']"
La Chèvre,"['Comedy', 'Crime', 'Adventure']","['boss', 'unlucky', 'daughter', 'missing', 'south', 'america', 'campana', 'sent', 'watch', 'boss', 'unlucky', 'employee', 'sent', 'private', 'detective', 'hopes', 'duplicate', 'daughters', 'mistakes']"
Tora! Tora! Tora!,"['Drama', 'History', 'War']","['summer', '1941', 'united', 'states', 'japan', 'seem', 'brink', 'war', 'constant', 'embargos', 'failed', 'diplomacy', 'come', 'end', 'tora', 'tora', 'tora', 'named', 'code', 'words', 'use', 'lead', 'japanese', 'pilot', 'indicate', 'surprised', 'americans', 'covers', 'days', 'leading', 'attack', 'pearl', 'harbor', 'plunged', 'america', 'second', 'world', 'war']"
American Splendor,"['Comedy', 'Drama']","['original', 'mix', 'fiction', 'reality', 'illuminates', 'life', 'comic', 'book', 'hero', 'everyman', 'harvey', 'pekar']"
3:10 to Yuma,"['Western', 'Drama', 'Thriller']","['dan', 'evans', 'small', 'time', 'farmer', 'hired', 'escort', 'ben', 'wade', 'dangerous', 'outlaw', 'yuma', 'evans', 'wade', 'wait', '310', 'train', 'yuma', 'wades', 'gang', 'racing', 'free']"
Lars and the Real Girl,"['Comedy', 'Drama', 'Romance']","['extremely', 'shy', 'lars', 'finds', 'impossible', 'make', 'friends', 'socialize', 'brother', 'sisterinlaw', 'worry', 'announces', 'girlfriend', 'met', 'internet', 'overjoyed', 'lars', 'new', 'lady', 'lifesize', 'plastic', 'woman', 'advice', 'doctor', 'family', 'rest', 'community', 'go', 'along', 'delusion']"
Sophie Scholl: The Final Days,"['Drama', 'History']","['1943', 'hitler', 'continues', 'wage', 'war', 'across', 'europe', 'group', 'college', 'students', 'mount', 'underground', 'resistance', 'movement', 'munich', 'dedicated', 'expressly', 'downfall', 'monolithic', 'third', 'reich', 'war', 'machine', 'call', 'white', 'rose', 'one', 'female', 'members', 'sophie', 'scholl', 'captured', 'dangerous', 'mission', 'distribute', 'pamphlets', 'campus', 'brother', 'hans', 'unwavering', 'convictions', 'loyalty', 'white', 'rose', 'crossexamination', 'gestapo', 'quickly', 'escalates', 'searing', 'test', 'wills', 'scholl', 'delivers', 'passionate', 'call', 'freedom', 'personal', 'responsibility']"
Petite Maman,"['Drama', 'Fantasy']","['death', 'beloved', 'grandmother', 'eightyearold', 'nelly', 'meets', 'strangely', 'familiar', 'girl', 'age', 'woods', 'instantly', 'forming', 'connection', 'mysterious', 'new', 'friend', 'nelly', 'embarks', 'fantastical', 'journey', 'discovery', 'helps', 'come', 'terms', 'newfound', 'loss']"
Max,"['Adventure', 'Drama', 'Family']","['dog', 'helped', 'soldiers', 'afghanistan', 'returns', 'us', 'adopted', 'handlers', 'family', 'suffering', 'traumatic', 'experience']"
Once Upon a Time in China,"['Action', 'Drama']","['set', 'late', '19th', 'century', 'canton', 'martial', 'arts', 'film', 'depicts', 'stance', 'taken', 'legendary', 'martial', 'arts', 'hero', 'wong', 'feihung', 'foreign', 'forces', 'plundering', 'china']"
Superman: Man of Tomorrow,"['Animation', 'Action', 'Science Fiction']","['it', '’', 's', 'dawn', 'new', 'age', 'heroes', 'metropolis', 'met', 'first', 'daily', 'planet', 'intern', 'clark', 'kent', '–', 'working', 'alongside', 'reporter', 'lois', 'lane', '–', 'secretly', 'wields', 'alien', 'powers', 'flight', 'superstrength', 'xray', 'vision', 'battle', 'good', 'there', '’', 's', 'even', 'greater', 'trouble', 'horizon']"
The House That Jack Built,"['Drama', 'Horror', 'Crime', 'Thriller']","['failed', 'architect', 'engineer', 'vicious', 'murderer', 'jack', 'narrates', 'details', 'elaborately', 'orchestrated', 'crimes', 'towering', 'piece', 'art', 'defines', 'lifes', 'work', 'serial', 'killer', 'twelve', 'years']"
Brimstone,"['Western', 'Mystery', 'Thriller', 'Drama']","['menacing', 'inferno', 'old', 'northamerican', 'west', 'liz', 'genuine', 'survivor', 'hunted', 'vengeful', 'preacher', 'crime', 'didn', '’', 't', 'commit']"
Fathers and Daughters,['Drama'],"['pulitzerwinning', 'writer', 'grapples', 'widower', 'father', 'mental', 'breakdown', '27', 'years', 'later', 'grown', 'daughter', 'struggles', 'forge', 'connections']"
The Master,['Drama'],"['freddie', 'volatile', 'heavydrinking', 'veteran', 'suffers', 'posttraumatic', 'stress', 'disorder', 'finds', 'semblance', 'family', 'stumbles', 'onto', 'ship', 'lancaster', 'dodd', 'charismatic', 'leader', 'new', 'religion', 'forms', 'world', 'war', 'ii']"
Never Rarely Sometimes Always,['Drama'],"['pair', 'teenage', 'girls', 'rural', 'pennsylvania', 'travel', 'new', 'york', 'city', 'seek', 'medical', 'help', 'unintended', 'pregnancy']"
Kiss Me Deadly,"['Mystery', 'Thriller', 'Crime']","['one', 'evening', 'hammer', 'gives', 'ride', 'christina', 'attractive', 'hitchhiker', 'lonely', 'country', 'road', 'escaped', 'nearby', 'lunatic', 'asylum', 'thugs', 'waylay', 'force', 'car', 'crash', 'hammer', 'returns', 'semiconsciousness', 'hears', 'christina', 'tortured', 'dies', 'hammer', 'vengeance', 'hopes', 'something', 'big', 'behind', 'decides', 'pursue', 'case']"
Vera Drake,['Drama'],"['abortionist', 'vera', 'drake', 'finds', 'beliefs', 'practices', 'clash', 'mores', '1950s', 'britain', '–', 'conflict', 'leads', 'tragedy', 'family']"
Bound,"['Drama', 'Thriller']","['corky', 'tough', 'female', 'exconvict', 'working', 'apartment', 'renovation', 'chicago', 'building', 'meets', 'couple', 'living', 'next', 'door', 'caesar', 'paranoid', 'mobster', 'violet', 'seductive', 'girlfriend', 'immediately', 'attracted']"
Peter Rabbit 2: The Runaway,"['Family', 'Comedy', 'Adventure', 'Animation', 'Fantasy']","['peter', 'rabbit', 'runs', 'away', 'human', 'family', 'learns', 'going', 'portray', 'bad', 'light', 'book', 'soon', 'crosses', 'paths', 'older', 'rabbit', 'ropes', 'heist']"
Midway,"['Action', 'Drama', 'War', 'History', 'Adventure']","['story', 'battle', 'midway', 'leaders', 'soldiers', 'used', 'instincts', 'fortitude', 'bravery', 'overcome', 'massive', 'odds']"
Brother,"['Crime', 'Drama', 'Thriller']","['japanese', 'yakuza', 'gangsters', 'deadly', 'existence', 'homeland', 'gets', 'exiled', 'los', 'angeles', 'taken', 'little', 'brother', 'brothers', 'gang']"
Molly's Game,"['Drama', 'Crime']","['molly', 'bloom', 'young', 'skier', 'former', 'olympic', 'hopeful', 'becomes', 'successful', 'entrepreneur', 'target', 'fbi', 'investigation', 'establishes', 'highstakes', 'international', 'poker', 'game']"
Matilda,"['Comedy', 'Family', 'Fantasy']","['extraordinarily', 'intelligent', 'young', 'girl', 'cruel', 'uncaring', 'family', 'discovers', 'possesses', 'telekinetic', 'powers', 'sent', 'school', 'headed', 'tyrannical', 'principal']"
The Transformers: The Movie,"['Animation', 'Science Fiction', 'Action', 'Adventure', 'Family']","['autobots', 'must', 'stop', 'colossal', 'planetconsuming', 'robot', 'goes', 'autobot', 'matrix', 'leadership', 'time', 'must', 'defend', 'allout', 'attack', 'decepticons']"
Fear Street: 1666,"['Mystery', 'Horror']","['1666', 'colonial', 'town', 'gripped', 'hysterical', 'witchhunt', 'deadly', 'consequences', 'centuries', 'come', 'teenagers', '1994', 'finally', 'put', 'end', 'towns', 'curse', 'late']"
The King,"['Drama', 'History', 'War']","['england', '15th', 'century', 'hal', 'capricious', 'prince', 'lives', 'among', 'populace', 'far', 'court', 'forced', 'circumstances', 'reluctantly', 'accept', 'throne', 'become', 'henry', 'v']"
Sapphire Blue,"['Fantasy', 'Romance', 'Drama']","['gwen', 'discovered', 'shes', 'final', 'member', 'secret', 'timetraveling', 'circle', 'twelve', 'juggle', 'constant', 'trips', 'past', 'relationships', 'gideon', 'figuring', 'dark', 'secrets', 'surrounding', 'circle']"
Secondhand Lions,"['Family', 'Comedy']","['comedic', 'adventures', 'introverted', 'boy', 'left', 'doorstep', 'pair', 'reluctant', 'eccentric', 'greatuncles', 'whose', 'exotic', 'remembrances', 'stir', 'boys', 'spirit', 'reignite', 'mens', 'lives']"
The Driver,"['Crime', 'Thriller', 'Action']","['driver', 'specializes', 'driving', 'getaway', 'cars', 'robberies', 'exceptional', 'talent', 'prevented', 'caught', 'yet', 'another', 'successful', 'flight', 'police', 'selfassured', 'detective', 'makes', 'primary', 'goal', 'catch', 'driver', 'promises', 'pardons', 'gang', 'help', 'convict', 'setup', 'robbery', 'driver', 'seeks', 'help', 'player', 'mislead', 'detective']"
The Last Castle,"['Action', 'Drama', 'Thriller']","['courtmartialed', 'general', 'rallies', 'together', '1200', 'inmates', 'rise', 'system', 'put', 'away']"
Troy,"['Adventure', 'History', 'War', 'Action']","['year', '1250', 'bc', 'late', 'bronze', 'age', 'two', 'emerging', 'nations', 'begin', 'clash', 'paris', 'trojan', 'prince', 'convinces', 'helen', 'queen', 'sparta', 'leave', 'husband', 'menelaus', 'sail', 'back', 'troy', 'menelaus', 'finds', 'wife', 'taken', 'trojans', 'asks', 'brother', 'agamemnon', 'help', 'get', 'back', 'agamemnon', 'sees', 'opportunity', 'power', 'set', '1000', 'ships', 'holding', '50000', 'greeks', 'troy']"
The Way Way Back,"['Comedy', 'Drama']","['shy', '14yearold', 'duncan', 'goes', 'summer', 'vacation', 'mother', 'overbearing', 'boyfriend', 'boyfriends', 'daughter', 'rough', 'time', 'fitting', 'duncan', 'finds', 'unexpected', 'friend', 'owen', 'manager', 'water', 'wizz', 'water', 'park']"
Friday,['Comedy'],"['craig', 'smokey', 'two', 'guys', 'los', 'angeles', 'hanging', 'porch', 'friday', 'afternoon', 'smoking', 'drinking', 'looking', 'something']"
Poltergeist,['Horror'],"['steve', 'freeling', 'lives', 'wife', 'diane', 'three', 'children', 'dana', 'robbie', 'carol', 'anne', 'southern', 'california', 'sells', 'houses', 'company', 'built', 'neighborhood', 'starts', 'odd', 'occurrences', 'broken', 'dishes', 'furniture', 'moving', 'around', 'however', 'realizes', 'something', 'truly', 'evil', 'haunts', 'home', 'steve', 'calls', 'team', 'parapsychologists', 'led', 'dr', 'lesh', 'help', 'late']"
The Creator,"['Action', 'Adventure', 'Drama']","['amid', 'future', 'war', 'human', 'race', 'forces', 'artificial', 'intelligence', 'hardened', 'exspecial', 'forces', 'agent', 'grieving', 'disappearance', 'wife', 'recruited', 'hunt', 'kill', 'creator', 'elusive', 'architect', 'advanced', 'ai', 'developed', 'mysterious', 'weapon', 'power', 'end', 'war—and', 'mankind']"
The Wrong Man,"['Crime', 'Drama']","['1953', 'innocent', 'man', 'named', 'christopher', 'emmanuel', 'manny', 'balestrero', 'arrested', 'mistaken', 'armed', 'robber']"
Barbie and the Magic of Pegasus,"['Animation', 'Family', 'Romance']","['princess', 'annika', 'escapes', 'clutches', 'evil', 'wizard', 'explores', 'wonders', 'cloud', 'kingdom', 'teams', 'magnificent', 'winged', 'horse', 'turns', 'sister', 'princess', 'brietta', 'defeat', 'wizard', 'break', 'spells', 'imprisoned', 'family']"
Red Cliff,"['Adventure', 'Drama', 'History', 'Action', 'War']","['208', 'ad', 'final', 'days', 'han', 'dynasty', 'shrewd', 'prime', 'minster', 'cao', 'convinced', 'fickle', 'emperor', 'han', 'way', 'unite', 'china', 'declare', 'war', 'kingdoms', 'xu', 'west', 'east', 'wu', 'south', 'thus', 'began', 'military', 'campaign', 'unprecedented', 'scale', 'left', 'hope', 'survival', 'kingdoms', 'xu', 'east', 'wu', 'formed', 'unlikely', 'alliance']"
Thief,"['Crime', 'Thriller', 'Action']","['frank', 'expert', 'professional', 'safecracker', 'specialized', 'highprofile', 'diamond', 'heists', 'plans', 'use', 'illgotten', 'income', 'retire', 'crime', 'build', 'nice', 'life', 'complete', 'home', 'wife', 'kids', 'accelerate', 'process', 'signs', 'top', 'gangster', 'big', 'score']"
Stepmom,"['Drama', 'Romance', 'Comedy']","['jackie', 'divorced', 'mother', 'two', 'isabel', 'career', 'minded', 'girlfriend', 'jackie', '’', 's', 'exhusband', 'luke', 'forced', 'role', 'unwelcome', 'stepmother', 'children', 'jackie', 'discovers', 'ill', 'women', 'realise', 'must', 'put', 'aside', 'differences', 'find', 'common', 'ground', 'celebrate', 'life', 'fullest', 'chance']"
House of Sand and Fog,['Drama'],"['behrani', 'iranian', 'immigrant', 'buys', 'california', 'bungalow', 'thinking', 'fix', 'sell', 'make', 'enough', 'money', 'send', 'son', 'college', 'however', 'house', 'legal', 'property', 'former', 'drug', 'addict', 'kathy', 'losing', 'house', 'unfair', 'legal', 'dispute', 'county', 'left', 'nowhere', 'go', 'wanting', 'house', 'back', 'hires', 'lawyer', 'befriends', 'police', 'officer', 'neither', 'kathy', 'behrani', 'broken', 'law', 'find', 'involved', 'difficult', 'moral', 'dilemma']"
Casualties of War,"['Drama', 'History', 'War']","['vietnam', 'war', 'soldier', 'finds', 'outsider', 'squad', 'unnecessarily', 'kidnap', 'female', 'villager']"
After the Wedding,['Drama'],"['manager', 'orphanage', 'india', 'sent', 'copenhagen', 'denmark', 'discovers', 'lifealtering', 'family', 'secret']"
Deadpool: No Good Deed,"['Action', 'Comedy', 'Crime']","['deadpool', 'sees', 'opportunity', 'save', 'day', 'doesnt', 'go', 'entirely', 'planned']"
Warriors of Future,"['Drama', 'Action', 'Science Fiction']","['meteor', 'carrying', 'destructive', 'plant', 'strikes', 'world', 'suicide', 'squad', 'given', 'hours', 'save', 'postapocalyptic', 'city', 'total', 'collapse']"
A Coffee in Berlin,"['Drama', 'Comedy']","['fateful', 'day', 'pushes', 'aimless', 'college', 'dropout', 'stop', 'wasting', 'time', 'finally', 'engage', 'life']"
In America,['Drama'],"['family', 'irish', 'immigrants', 'adjusts', 'life', 'mean', 'streets', 'hells', 'kitchen', 'also', 'grieving', 'death', 'child']"
Murder on the Orient Express,"['Drama', 'Thriller', 'Mystery']","['1935', 'train', 'stopped', 'deep', 'snow', 'detective', 'hercule', 'poirot', 'called', 'solve', 'murder', 'occurred', 'car', 'night']"
Greenland,"['Action', 'Thriller', 'Drama']","['john', 'garrity', 'estranged', 'wife', 'young', 'son', 'embark', 'perilous', 'journey', 'find', 'sanctuary', 'planetkilling', 'comet', 'hurtles', 'toward', 'earth', 'amid', 'terrifying', 'accounts', 'cities', 'getting', 'levelled', 'garritys', 'experience', 'best', 'worst', 'humanity', 'countdown', 'global', 'apocalypse', 'approaches', 'zero', 'incredible', 'trek', 'culminates', 'desperate', 'lastminute', 'flight', 'possible', 'safe']"
The Upside,"['Comedy', 'Drama']","['phillip', 'wealthy', 'quadriplegic', 'needs', 'caretaker', 'help', 'daytoday', 'routine', 'new', 'york', 'penthouse', 'decides', 'hire', 'dell', 'struggling', 'parolee', 'whos', 'trying', 'reconnect', 'ex', 'young', 'son', 'despite', 'coming', 'two', 'different', 'worlds', 'unlikely', 'friendship', 'starts', 'blossom']"
Tangled Ever After,"['Animation', 'Comedy', 'Action', 'Family']","['kingdom', 'festive', 'mood', 'everyone', 'gathers', 'royal', 'wedding', 'rapunzel', 'flynn', 'however', 'pascal', 'maximus', 'flower', 'chameleon', 'ring', 'bearer', 'respectively', 'lose', 'gold', 'bands', 'frenzied', 'search', 'recovery', 'mission', 'gets', 'underway', 'desperate', 'duo', 'tries', 'find', 'rings', 'anyone', 'discovers', 'they', '’', 're', 'missing', 'leave', 'behind', 'trail', 'comical', 'chaos', 'includes', 'flying', 'lanterns', 'flock', 'doves', 'wine', 'barrel', 'barricade', 'sticky', 'finale', 'maximus', 'pascal', 'save', 'day', 'make', 'church', 'time', 'ever', 'get', 'flynn', '’', 's', 'nose', 'right']"
